id,timestamp,Axes_Z_aaTorque
i1,2023-04-28 17:20:06.000,0.07100000000000001
i1,2023-04-28 17:20:06.000,0.068
i1,2023-04-28 17:20:06.000,0.058
i1,2023-04-28 17:20:07.000,0.059000000000000004
i1,2023-04-28 17:20:07.000,0.063
i1,2023-04-28 17:20:07.000,0.062
i1,2023-04-28 17:20:08.000,0.059000000000000004
i1,2023-04-28 17:20:09.000,0.052000000000000005
i1,2023-04-28 17:20:09.000,0.059000000000000004
i1,2023-04-28 17:20:09.000,0.058
i1,2023-04-28 17:20:10.000,0.07
i1,2023-04-28 17:20:10.000,0.058
i1,2023-04-28 17:20:10.000,0.063
i1,2023-04-28 17:20:11.000,0.064
i1,2023-04-28 17:20:11.000,0.063
i1,2023-04-28 17:20:11.000,0.06
i1,2023-04-28 17:20:12.000,0.069
i1,2023-04-28 17:20:12.000,0.07
i1,2023-04-28 17:20:12.000,0.07100000000000001
i1,2023-04-28 17:20:12.000,0.069
i1,2023-04-28 17:20:13.000,0.073
i1,2023-04-28 17:20:13.000,-0.839
i1,2023-04-28 17:20:14.000,-0.035
i1,2023-04-28 17:20:14.000,-0.031
i1,2023-04-28 17:20:14.000,-0.054
i1,2023-04-28 17:20:15.000,-0.088
i1,2023-04-28 17:20:15.000,-0.289
i1,2023-04-28 17:20:15.000,-0.6990000000000001
i1,2023-04-28 17:20:15.000,0.14300000000000002
i1,2023-04-28 17:20:16.000,-0.787
i1,2023-04-28 17:20:16.000,-0.551
i1,2023-04-28 17:20:16.000,-1.025
i1,2023-04-28 17:20:16.000,0.603
i1,2023-04-28 17:20:17.000,-0.9580000000000001
i1,2023-04-28 17:20:17.000,0.02
i1,2023-04-28 17:20:17.000,-0.08700000000000001
i1,2023-04-28 17:20:17.000,-0.01
i1,2023-04-28 17:20:18.000,-0.587
i1,2023-04-28 17:20:18.000,-0.434
i1,2023-04-28 17:20:18.000,0.133
i1,2023-04-28 17:20:18.000,-0.249
i1,2023-04-28 17:20:19.000,0.213
i1,2023-04-28 17:20:19.000,0.247
i1,2023-04-28 17:20:19.000,-0.203
i1,2023-04-28 17:20:19.000,-0.095
i1,2023-04-28 17:20:20.000,-0.106
i1,2023-04-28 17:20:20.000,-0.08700000000000001
i1,2023-04-28 17:20:20.000,-0.08
i1,2023-04-28 17:20:20.000,-0.082
i1,2023-04-28 17:20:21.000,-0.085
i1,2023-04-28 17:20:21.000,-0.08700000000000001
i1,2023-04-28 17:20:21.000,-0.01
i1,2023-04-28 17:20:21.000,-0.064
i1,2023-04-28 17:20:22.000,-0.055
i1,2023-04-28 17:20:22.000,-0.07100000000000001
i1,2023-04-28 17:20:22.000,-0.092
i1,2023-04-28 17:20:23.000,-0.067
i1,2023-04-28 17:20:23.000,-9.409
i1,2023-04-28 17:20:23.000,5.91
i1,2023-04-28 17:20:23.000,-0.035
i1,2023-04-28 17:20:24.000,-0.177
i1,2023-04-28 17:20:24.000,-0.17300000000000001
i1,2023-04-28 17:20:24.000,-0.076
i1,2023-04-28 17:20:24.000,-7.18
i1,2023-04-28 17:20:25.000,-1.186
i1,2023-04-28 17:20:25.000,2.1750000000000003
i1,2023-04-28 17:20:25.000,-0.14300000000000002
i1,2023-04-28 17:20:25.000,0.40900000000000003
i1,2023-04-28 17:20:26.000,0.451
i1,2023-04-28 17:20:26.000,0.225
i1,2023-04-28 17:20:26.000,0.169
i1,2023-04-28 17:20:26.000,0.178
i1,2023-04-28 17:20:27.000,0.171
i1,2023-04-28 17:20:27.000,0.232
i1,2023-04-28 17:20:27.000,0.276
i1,2023-04-28 17:20:28.000,0.217
i1,2023-04-28 17:20:28.000,0.199
i1,2023-04-28 17:20:28.000,-0.323
i1,2023-04-28 17:20:28.000,-0.095
i1,2023-04-28 17:20:29.000,-0.076
i1,2023-04-28 17:20:29.000,-0.098
i1,2023-04-28 17:20:29.000,-0.08600000000000001
i1,2023-04-28 17:20:29.000,0.578
i1,2023-04-28 17:20:30.000,0.47700000000000004
i1,2023-04-28 17:20:30.000,0.211
i1,2023-04-28 17:20:30.000,0.132
i1,2023-04-28 17:20:30.000,0.12
i1,2023-04-28 17:20:31.000,0.14100000000000001
i1,2023-04-28 17:20:31.000,0.188
i1,2023-04-28 17:20:31.000,0.028
i1,2023-04-28 17:20:31.000,-0.042
i1,2023-04-28 17:20:32.000,3.197
i1,2023-04-28 17:20:32.000,0.677
i1,2023-04-28 17:20:32.000,-0.046
i1,2023-04-28 17:20:32.000,-0.098
i1,2023-04-28 17:20:33.000,-0.115
i1,2023-04-28 17:20:33.000,0.0
i1,2023-04-28 17:20:33.000,-0.13
i1,2023-04-28 17:20:33.000,-0.052000000000000005
i1,2023-04-28 17:20:34.000,-0.055
i1,2023-04-28 17:20:34.000,-0.551
i1,2023-04-28 17:20:34.000,-1.18
i1,2023-04-28 17:20:35.000,6.352
i1,2023-04-28 17:20:35.000,0.019
i1,2023-04-28 17:20:35.000,0.025
i1,2023-04-28 17:20:35.000,0.026000000000000002
i1,2023-04-28 17:20:35.000,0.028
