id,timestamp,Axes_Y_aaTorque
i1,2023-04-28 17:20:24.000,0.851
i1,2023-04-28 17:20:25.000,0.997
i1,2023-04-28 17:20:25.000,0.767
i1,2023-04-28 17:20:25.000,0.779
i1,2023-04-28 17:20:25.000,0.781
i1,2023-04-28 17:20:26.000,0.78
i1,2023-04-28 17:20:26.000,0.787
i1,2023-04-28 17:20:27.000,0.795
i1,2023-04-28 17:20:27.000,0.752
i1,2023-04-28 17:20:27.000,0.681
i1,2023-04-28 17:20:28.000,0.6900000000000001
i1,2023-04-28 17:20:28.000,0.677
i1,2023-04-28 17:20:28.000,0.746
i1,2023-04-28 17:20:28.000,0.769
i1,2023-04-28 17:20:29.000,0.737
i1,2023-04-28 17:20:29.000,0.763
i1,2023-04-28 17:20:29.000,0.762
i1,2023-04-28 17:20:29.000,0.759
i1,2023-04-28 17:20:30.000,0.758
i1,2023-04-28 17:20:30.000,0.762
i1,2023-04-28 17:20:30.000,0.752
i1,2023-04-28 17:20:30.000,0.761
i1,2023-04-28 17:20:31.000,0.75
i1,2023-04-28 17:20:31.000,0.7020000000000001
i1,2023-04-28 17:20:31.000,0.834
i1,2023-04-28 17:20:31.000,0.8240000000000001
i1,2023-04-28 17:20:32.000,0.725
i1,2023-04-28 17:20:32.000,0.785
i1,2023-04-28 17:20:32.000,0.778
i1,2023-04-28 17:20:33.000,0.781
i1,2023-04-28 17:20:33.000,0.722
i1,2023-04-28 17:20:33.000,0.714
i1,2023-04-28 17:20:34.000,0.72
i1,2023-04-28 17:20:34.000,0.722
i1,2023-04-28 17:20:34.000,0.723
i1,2023-04-28 17:20:34.000,0.722
i1,2023-04-28 17:20:35.000,0.73
i1,2023-04-28 17:20:35.000,0.709
i1,2023-04-28 17:20:35.000,0.711
i1,2023-04-28 17:20:35.000,0.712
i1,2023-04-28 17:20:35.000,0.711
